Brewery,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Right Brain Brewery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
McKenzie Brew House,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,10,2,2,0,2,0,0,0,1,0,1,0,0,2,0,0,9,1,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0
Rust Belt Brewing Company,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,19,0,5,0,0,0,0,0,0,0,0,1,21,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,3,0,0
Lonerider Brewing,3,1,0,2,0,0,6,0,80,0,0,13,1,1,5,5,11,2,0,0,0,10,0,4,0,1,0,0,1,0,2,11,8,0,0,0,0,2,0,1,0,0,1,4,0,0,2,4,1,0,0
Ranger Creek Brewing &amp; Distilling,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,5,0,0,0,2,0,1,0,0,0,1,0,0,37,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,3,0,0,1,1,0,0
Cavalry Brewing,0,0,0,2,1,0,3,0,0,0,0,4,1,0,0,1,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0
Howe Sound Inn &amp; Brewing Company,22,4,0,0,0,0,0,0,2,0,0,2,0,0,0,11,5,0,0,0,0,0,2,1,0,0,0,0,1,1,0,4,0,0,0,0,0,10,0,0,0,1,0,0,1,0,1,3,0,0,0
Hangar 24 Brewery,4,3,0,0,0,3,3,0,1,0,0,4,0,3,3,187,4,0,0,5,0,0,0,0,0,2,0,0,6,0,1,7,6,0,0,0,1,16,5,2,1,0,2,2,1,0,1,4,2,5,0
Legend Brewing Co.,4,3,1,9,1,3,14,0,37,0,0,12,7,0,10,16,4,8,0,12,4,12,3,5,0,3,0,0,5,0,1,61,259,0,1,0,0,11,2,3,5,0,1,14,23,1,1,3,0,3,1
Mayflower Brewing Company,3,6,0,4,1,33,7,0,11,0,0,30,40,1,13,12,5,22,1,5,0,7,0,7,0,2,0,0,5,0,2,30,3,0,2,0,1,18,6,1,9,2,11,5,333,7,5,5,3,1,1
